,Brand,Continent,Country,Latitude,Longitude,Sentiment
0,Fashion Co.,Europe,United Kingdom,51.1322179,-0.0117661,0
1,Media Co.,Asia,India,19.1943294,72.9701779,3
2,Restaurant Chain,South America,Peru,-6.8699697,-75.0458515,0
3,Restaurant Chain,Asia,Singapore,-2.9888297,104.756857,0
4,Restaurant Chain,Asia,Korea,36.638392,127.6961188,0
5,Restaurant Chain,Asia,Philippines,12.7503486,122.7312101,0
6,Restaurant Chain,Asia,India,22.3511148,78.6677428,0
7,Restaurant Chain,South America,Peru,-6.8699697,-75.0458515,0
8,Media Co.,Asia,Thailand,13.7544238,100.4930399,2
9,Media Co.,Asia,India,19.1943294,72.9701779,3
10,Media Co.,North America,Mexico,29.7028266,-98.1257348,0
11,Media Co.,North America,United States,36.7014631,-118.755997,4
12,Restaurant Chain,South America,Colombia,2.8894434,-73.783892,0
13,Automotive Co.,Europe,Luxembourg,48.7580777,8.2415239,-3
14,Restaurant Chain,South America,Bolivia,-17.0568696,-64.9912286,0
15,Restaurant Chain,Asia,Korea,36.638392,127.6961188,0
16,Media Co.,Asia,India,19.1943294,72.9701779,3
17,Media Co.,Europe,Germany,51.0834196,10.4234469,0
18,Media Co.,Europe,United Kingdom,51.5073219,-0.1276474,3
19,Restaurant Chain,South America,Bolivia,-17.0568696,-64.9912286,0
20,Automotive Co.,Europe,Germany,50.6080651,9.0284647,0
21,Restaurant Chain,North America,Bahamas,35.6729639,-79.0392919,3
22,Restaurant Chain,South America,Bolivia,-17.0568696,-64.9912286,0
23,Restaurant Chain,Europe,United Kingdom,54.9738474,-1.6131572,3
24,Media Co.,Asia,India,19.1943294,72.9701779,3
25,Restaurant Chain,Asia,Korea,36.638392,127.6961188,0
26,Restaurant Chain,South America,Bolivia,-17.0568696,-64.9912286,0
27,Automotive Co.,North America,United States,30.3612885,-87.1683428131116,-1
28,Restaurant Chain,South America,Peru,-6.8699697,-75.0458515,0
29,Media Co.,Asia,China,22.2793278,114.1628131,0
30,Restaurant Chain,South America,Bolivia,-17.0568696,-64.9912286,0
31,Media Co.,North America,Bahamas,27.7567667,-81.4639835,5
32,Restaurant Chain,South America,Bolivia,-17.0568696,-64.9912286,0
33,Automotive Co.,North America,Mexico,33.7690164,-118.191604,1
34,Media Co.,Asia,India,19.1943294,72.9701779,3
35,Restaurant Chain,South America,Bolivia,-17.0568696,-64.9912286,0
36,Restaurant Chain,South America,Peru,-6.8699697,-75.0458515,0
37,Restaurant Chain,Europe,Belgium,51.2211097,4.3997081,0
38,Media Co.,Asia,India,19.1943294,72.9701779,3
39,Restaurant Chain,South America,Bolivia,-17.0568696,-64.9912286,0
40,Restaurant Chain,South America,Peru,-6.8699697,-75.0458515,0
41,Restaurant Chain,North America,Guatemala,15.6356088,-89.8988087,0
42,Restaurant Chain,Asia,Korea,36.638392,127.6961188,0
43,Restaurant Chain,South America,Peru,-6.8699697,-75.0458515,0
44,Restaurant Chain,North America,Guatemala,15.6356088,-89.8988087,0
45,Automotive Co.,Europe,Andorra,41.3828939,2.1774322,0
46,Media Co.,North America,Bahamas,28.5421109,-81.3790304,0
47,Restaurant Chain,North America,Guatemala,15.6356088,-89.8988087,0
48,Restaurant Chain,Asia,Korea,36.638392,127.6961188,0
49,Restaurant Chain,North America,Mexico,22.5000485,-100.0000375,0
50,Restaurant Chain,North America,Guatemala,15.6356088,-89.8988087,0
51,Restaurant Chain,North America,Guatemala,15.6356088,-89.8988087,0
52,Restaurant Chain,South America,Peru,-6.8699697,-75.0458515,0
53,Restaurant Chain,Asia,Indonesia,-2.4833826,117.8902853,0
54,Restaurant Chain,North America,Guatemala,15.6356088,-89.8988087,0
